product_type,name,brandName,stockStatus,description.short,description.complete,genderLabel,department,pricing.regularPrice.value,pricing.finalPrice.value,pricing.retailPrice.value
ConfigurableProduct,Balenciaga Ladies Peach Pitch Black Upside-Down Denim Miniskirt,Balenciaga,IN_STOCK,Balenciaga 750955 TNW11 1700 Ladies,"Balenciaga Ladies Bottoms. Fashion category: Skirts. SKU: 750955 TNW11 1700. Color: Peach Pitch Black. Balenciaga Ladies Peach Pitch Black Upside-Down Denim Miniskirt. Crafted from denim cotton, this skirt features a tonal stitching, straight hem, thigh-length, silver-tone hardware and finished with a logo patch to the rear. Cotton 100% Made in Italy.",Womens,Clothing,789.99,234.98,1250.0
ConfigurableProduct,Polo Ralph Lauren White Blazer Jacket,Polo Ralph Lauren,IN_STOCK,Polo Ralph Lauren 211793197001 Ladies,"Polo Ralph Lauren Ladies Outerwear. Fashion category: Blazers. SKU: 211793197001. Color: White. Polo Ralph Lauren White Blazer Jacket. Polo Ralph Lauren blazer features a front button fastening, long sleeves with buttoned cuffs, a chest slip pocket, 3 front flap pockets, classic collar and a regular fit.",Womens,Clothing,318.99,111.0,398.0
SimpleProduct,Breguet Marine Automatic Grey Dial Men's Watch 5517BR/G3/5ZU,Breguet,IN_STOCK,Breguet 5517BR/G3/5ZU Mens,"Rose gold-tone 18kt rose gold case with a black rubber strap. Fixed rose gold-tone 18kt rose gold bezel. Grey dial with rose gold-tone hands and Roman numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Automatic movement. Scratch resistant sapphire crystal. Screw down crown. Transparent see through case back. Round case shape, case size: 40 mm. Deployment with push button release clasp. Water resistant at 100 meters / 330 feet. Functions: date, hour, minute, second. Additional Info: original box, international warranty card, manual (complete accessories). Marine Series. Luxury watch style. Watch label: Swiss Made. Breguet Marine Automatic Grey Dial Men's Watch 5517BR/G3/5ZU.",Mens,Watches,34191.99,27500.0,36900.0
SimpleProduct,Ferragamo Wanda Top Handle Bag - Beige,Ferragamo,IN_STOCK,Ferragamo 213961 762498 Ladies,"Ferragamo Ladies Handbag. Wanda series. SKU: 213961762498007. Color: Beige. Size: H: 11.4"" x L: 13.7"" x W: 3.9"". Ferragamo Wanda Top Handle Bag - Beige. The handbag features a geometric body, a Gancini buckle, a flap pocket, a detachable shoulder strap, along with a main compartment. 100% Calfskin. Made in Italy.",Womens,Bags,2504.99,1722.0,2980.0
GroupedProduct,Jovan White Musk Mens EDC,,OUT_OF_STOCK,,,Unisex,,14.99,8.99,0.0
SimpleProduct,"Le Vian Chocolatier Ring Chocolate Diamonds, Vanilla Diamonds set in 14K Strawberry Gold Ring Size 7 R20035BRN9",Le Vian,IN_STOCK,Le Vian R20035BRN9 Ladies,"Le Vian Chocolatier Ring featuring 3/4 cts. Chocolate Diamonds , 1/3 cts. Vanilla Diamonds set in 14K Strawberry Gold Le Vian Ladies Rings. SKU: R20035BRN9. Barcode: 886589925893. Color: Pink. Metal Type: Gold. Metal Stamp: 14k. Gem stone type: Diamond. Stone clarity: SI2. Stone color: H-I. Ring style: Cocktail. Le Vian Chocolatier Ring Chocolate Diamonds, Vanilla Diamonds set in 14K Strawberry Gold Ring Size 7 R20035BRN9.",Womens,Jewelry,1044.27,1044.27,3297.5
SimpleProduct,Tissot Chrono XL Classic Silver Dial Men's Watch T116.617.11.037.00,Tissot,OUT_OF_STOCK,Tissot T116.617.11.037.00 Mens,"Stainless steel case with a stainless steel bracelet. Fixed stainless steel bezel. Silver dial with luminous silver-tone hands and Arabic numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 4 o'clock position. Chronograph - three sub-dials displaying: 60 second, 30 minute and 1/10th of a second. ETA caliber G10.212 Swiss quartz movement. Scratch resistant sapphire crystal. Solid case back. Round case shape. Case size: 45 mm. Case thickness: 11.02 mm. Band width: 22 mm. Fold over clasp with a push button release. Water resistant at 100 meters / 330 feet. Functions: chronograph, rattrapante, date, hour, minute, small second. Sport watch style. Watch label: Swiss Made. Tissot Chrono XL Classic Silver Dial Men's Watch T116.617.11.037.00.",Mens,Watches,348.99,279.99,425.0
SimpleProduct,GV2 by Gevril Potente White Dial Men's Watch 18103,Gv2 By Gevril,IN_STOCK,GV2 by Gevril 18103 Mens,"Yellow gold-tone stainless steel case with a two-tone (silver-tone and yellow gold-tone) stainless steel bracelet. Fixed yellow gold-tone bezel. White dial with luminous gold-tone pencil-style hands and index hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Automatic movement. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Cushion case shape. Case size: 40 mm. Case thickness: 12.5 mm. Band width: 20 mm. Deployment clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Potente Series. Fashion watch style. Watch label: Swiss Made. GV2 by Gevril Potente White Dial Men's Watch 18103.",Mens,Watches,2084.99,876.0,2695.0
SimpleProduct,Daniel Wellington Petite Amber Quartz Brown Dial Ladies Watch DW00100477,Daniel Wellington,IN_STOCK,Daniel Wellington DW00100477 Ladies,"Rose gold-tone stainless steel case with a rose gold-tone stainless steel mesh bracelet. Fixed rose gold-tone stainless steel bezel. Brown dial with rose gold-tone hands and index hour markers. Dial Type: Analog. Quartz movement. Scratch resistant mineral crystal. Pull / push crown. Solid case back. Round case shape, case size: 32 mm. Band width: 14 mm. Fold over clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Petite Amber Series. Casual watch style. Daniel Wellington Petite Amber Quartz Brown Dial Ladies Watch DW00100477.",Womens,Watches,198.99,138.62,239.0
SimpleProduct,"Moncler Navy Logo Knit Beanie Hat, Size One Size",Moncler,IN_STOCK,Moncler F10919Z70200A9332778 Mens,"Moncler Men's Hats. Fashion category: Hats. SKU: F10919Z70200A9332778. Color: Navy. Moncler Navy Logo Knit Beanie Hat. This beanie hat from Moncler is crafted from high-quality wool, offering both warmth and comfort. It features a subtle logo detail, adding a signature touch to its classic and stylish design. 100% Wool. Made in Bulgaria.",Mens,Fashion Accessories,200.99,134.99,245.0
